,site_key,prod_key,Date,Time,sum,difference
0,30000000674,1000000000002,2023-10-01,12:00:00,485.0,485.0
1,30000000674,1000000000002,2023-10-01,00:00:00,1798.0,1458.0
2,30000000674,1000000000002,2023-10-02,12:00:00,427.0,427.0
3,30000000674,1000000000002,2023-10-02,00:00:00,878.0,538.0
4,30000000674,1000000000002,2023-10-03,12:00:00,562.0,562.0
5,30000000674,1000000000002,2023-10-03,00:00:00,1185.0,845.0
6,30000000674,1000000000002,2023-10-04,12:00:00,467.0,467.0
7,30000000674,1000000000002,2023-10-04,00:00:00,1090.0,750.0
8,30000000674,1000000000002,2023-10-05,12:00:00,405.0,405.0
9,30000000674,1000000000002,2023-10-05,12:00:00,38.0,38.0
10,30000000674,1000000000002,2023-10-05,00:00:00,1272.0,547.0
11,30000000674,1000000000002,2023-10-06,12:00:00,530.0,190.0
12,30000000674,1000000000002,2023-10-06,00:00:00,1044.0,319.0
13,30000000674,1000000000002,2023-10-07,12:00:00,537.0,197.0
14,30000000674,1000000000002,2023-10-07,00:00:00,1819.0,1094.0
15,30000000674,1000000000002,2023-10-08,12:00:00,796.0,456.0
16,30000000674,1000000000002,2023-10-08,00:00:00,1784.0,1059.0
17,30000000674,1000000000002,2023-10-09,12:00:00,448.0,108.0
18,30000000674,1000000000002,2023-10-09,00:00:00,1153.0,428.0
19,30000000674,1000000000002,2023-10-10,12:00:00,552.0,212.0
20,30000000674,1000000000002,2023-10-10,00:00:00,1236.0,511.0
21,30000000674,1000000000002,2023-10-11,12:00:00,536.0,196.0
22,30000000674,1000000000002,2023-10-11,00:00:00,1345.0,620.0
23,30000000674,1000000000002,2023-10-12,12:00:00,496.0,156.0
24,30000000674,1000000000002,2023-10-12,12:00:00,22.0,22.0
25,30000000674,1000000000002,2023-10-12,00:00:00,1121.0,781.0
26,30000000674,1000000000002,2023-10-13,12:00:00,443.0,443.0
27,30000000674,1000000000002,2023-10-13,00:00:00,1184.0,844.0
28,30000000674,1000000000002,2023-10-14,12:00:00,615.0,615.0
29,30000000674,1000000000002,2023-10-14,12:00:00,32.0,32.0
30,30000000674,1000000000002,2023-10-14,00:00:00,1621.0,896.0
31,30000000674,1000000000002,2023-10-15,12:00:00,809.0,469.0
32,30000000674,1000000000002,2023-10-15,12:00:00,24.0,24.0
33,30000000674,1000000000002,2023-10-15,00:00:00,2047.0,1707.0
34,30000000674,1000000000002,2023-10-16,12:00:00,593.0,593.0
35,30000000674,1000000000002,2023-10-16,00:00:00,1086.0,746.0
36,30000000674,1000000000002,2023-10-17,12:00:00,503.0,503.0
37,30000000674,1000000000002,2023-10-17,12:00:00,20.0,20.0
38,30000000674,1000000000002,2023-10-17,00:00:00,1043.0,318.0
39,30000000674,1000000000002,2023-10-18,12:00:00,597.0,257.0
40,30000000674,1000000000002,2023-10-18,00:00:00,961.0,236.0
41,30000000674,1000000000002,2023-10-19,12:00:00,499.0,159.0
42,30000000674,1000000000002,2023-10-19,00:00:00,916.0,191.0
43,30000000674,1000000000002,2023-10-20,12:00:00,679.0,339.0
44,30000000674,1000000000002,2023-10-20,00:00:00,888.0,163.0
45,30000000674,1000000000002,2023-10-21,12:00:00,643.0,303.0
46,30000000674,1000000000002,2023-10-21,00:00:00,1614.0,889.0
47,30000000674,1000000000002,2023-10-22,12:00:00,745.0,405.0
48,30000000674,1000000000002,2023-10-22,00:00:00,1782.0,1057.0
49,30000000674,1000000000002,2023-10-23,12:00:00,838.0,498.0
50,30000000674,1000000000002,2023-10-23,00:00:00,1081.0,356.0
51,30000000674,1000000000002,2023-10-24,12:00:00,509.0,169.0
52,30000000674,1000000000002,2023-10-24,00:00:00,827.0,102.0
53,30000000674,1000000000002,2023-10-25,12:00:00,863.0,523.0
54,30000000674,1000000000002,2023-10-25,00:00:00,683.0,683.0
55,30000000674,1000000000002,2023-10-26,12:00:00,728.0,388.0
56,30000000674,1000000000002,2023-10-26,00:00:00,1177.0,452.0
57,30000000674,1000000000002,2023-10-27,12:00:00,500.0,160.0
58,30000000674,1000000000002,2023-10-27,12:00:00,30.0,30.0
59,30000000674,1000000000002,2023-10-27,00:00:00,1450.0,1110.0
60,30000000674,1000000000002,2023-10-29,12:00:00,637.0,637.0
61,30000000674,1000000000002,2023-10-29,12:00:00,34.0,34.0
62,30000000674,1000000000002,2023-10-29,00:00:00,1944.0,1219.0
63,30000000674,1000000000002,2023-10-30,12:00:00,508.0,168.0
64,30000000674,1000000000002,2023-10-30,00:00:00,1175.0,450.0
65,30000000674,1000000000002,2023-10-31,12:00:00,927.0,587.0
66,30000000674,1000000000002,2023-10-31,12:00:00,27.0,27.0
67,30000000674,1000000000002,2023-10-31,00:00:00,1206.0,866.0
68,30000000674,1000000000009,2023-10-01,12:00:00,14.0,14.0
69,30000000674,1000000000009,2023-10-01,00:00:00,58.0,58.0
70,30000000674,1000000000009,2023-10-02,12:00:00,17.0,17.0
71,30000000674,1000000000009,2023-10-02,00:00:00,25.0,25.0
72,30000000674,1000000000009,2023-10-03,12:00:00,13.0,13.0
73,30000000674,1000000000009,2023-10-03,00:00:00,15.0,15.0
74,30000000674,1000000000009,2023-10-04,12:00:00,11.0,11.0
75,30000000674,1000000000009,2023-10-04,00:00:00,9.0,9.0
76,30000000674,1000000000009,2023-10-06,12:00:00,10.0,10.0
77,30000000674,1000000000009,2023-10-06,00:00:00,21.0,21.0
78,30000000674,1000000000009,2023-10-07,12:00:00,10.0,10.0
79,30000000674,1000000000009,2023-10-07,00:00:00,51.0,51.0
80,30000000674,1000000000009,2023-10-08,12:00:00,17.0,17.0
81,30000000674,1000000000009,2023-10-08,00:00:00,15.0,15.0
82,30000000674,1000000000009,2023-10-10,12:00:00,10.0,10.0
83,30000000674,1000000000009,2023-10-10,00:00:00,20.0,20.0
